"","pr_dsI"
"2780",0.503385927724299
"2781",0.377105151614962
"2782",0.0765509169820706
"2783",0.0372734831378669
"2784",0.0701382747217925
"2785",27.0057378543508
"2786",1.19046193722334
"2787",0.120237042380216
"2788",0.0312616310188561
"2789",0.00360711127140647
"2790",0.0428845451156103
"2791",15.3097397640629
"2792",0.0709398550043272
"2793",0.00521027183647601
"2794",0.115427560685007
"2795",0.094586473339103
"2796",0.0200395070633693
"2797",0.100197535316846
"2798",3.18118397624185
"2799",0.0597177310488405
"2800",10.5673760945293
"2801",2.51592112057757
"2802",2.24120515996494
"2803",1.11824589610325
"2804",0
"2805",13.1610861274363
"2806",5.04563785596722
"2807",0.734013317243654
"2808",3.73057909537157
"2809",4.48933587504443
"2810",3.93720196384345
"2811",6.59312846904699
"2812",4.71435750924663
"2813",1.98137743704684
"2814",0
"2815",0
"2816",24.2338069319183
"2817",4.75116643666003
"2818",3.64340005676089
"2819",9.44603686668781
"2820",3.08840679741296
"2821",0
"2822",0
"2823",0.97497064066502
"2824",0
"2825",0
"2826",0.443803840015977
"2827",0.98994362431799
"2828",0.56611198490227
"2829",0.548639392775656
"2830",0.702398203489853
"2831",0
"2832",0
"2833",0
"2834",0
"2835",0
"2836",0
"2837",0.759433381464086
"2838",11.6975977928212
"2839",0.454181299067534
"2840",0
"2841",0
"2842",0
"2843",0
"2844",0
"2845",0
"2846",0
"2847",0.370826707940217
"2848",0
"2849",0
"2850",0
"2851",0
"2852",0
"2853",0
"2854",0
"2855",0.38825459499746
"2856",0
"2857",0
"2858",0
"2859",0
"2860",0
"2861",0
"2862",10.8498140047697
"2863",18.8574729895789
"2864",1.70754869056355
"2865",0.144377018010518
"2866",0.523419963091563
"2867",0.0485106780515339
"2868",15.8348636826368
"2869",30.1584227118026
"2870",2.96847302084759
"2871",0.0346504843225242
"2872",0.259878632418932
"2873",0.130516824281508
"2874",0.159392227883611
"2875",0.1674773408922
"2876",0.479844354019298
"2877",0.0889362430944788
"2878",0.198662776782472
"2879",0.390395456700439
"2880",0.0866262108063105
"2881",0.237933325681333
"2882",0.209057922079229
"2883",0.488559475833751
"2884",0.174407437756705
"2885",0.293374100597372
"2886",0.0334954681784401
"2887",0.286444003732867
"2888",0.366140117674673
"2889",0.18133753462121
"2890",0.584425815792734
"2891",1.49197026558015
"2892",0.986088873001216
"2893",0.0877810185387098
"2894",0.0728582453871292
"2895",0.080758537055613
"2896",0.275632398211549
"2897",4.18922002002679
"2898",1.05855361727076
"2899",1.93021746209636
"2900",3.12867040839939
"2901",0.298455463031613
"2902",0.33883473155942
"2903",0.229108458386033
"2904",0.319522907480904
"2905",0.173806416706645
"2906",0.207163203751355
"2907",0.262465245430742
"2908",0.159761453740452
"2909",0.180828898189742
"2910",0.0579354722355485
"2911",0.0596910926063227
"2912",0.117626564841871
"2913",0.215941305605226
"2914",0.00526686111232259
