"","ref_etp_proj"
"466",6.0889801569283
"467",3.43530060400371
"468",5.04659067094326
"469",4.03716181893833
"470",5.71442837244831
"471",6.64823953411542
"472",4.20310870092362
"473",6.25788467982784
"474",6.89038394705858
"475",6.11703447252512
"476",7.3866523320321
"477",5.6866908275988
"478",6.38211146742105
"479",5.80442290718202
"480",2.63396800681949
"481",2.09858124703169
"482",1.79095164686441
"483",4.93027143552899
"484",6.4789248239249
"485",7.14387915702537
"486",7.11764967814088
"487",6.13792635500431
"488",7.81866137869656
"489",6.9708995250985
"490",7.166563982144
"491",7.55315729603171
"492",6.8692172896117
"493",6.73257021605968
"494",6.98434169497341
"495",8.62684006989002
"496",6.7453016191721
"497",7.46157320355996
"498",5.12869823165238
"499",7.76448242459446
"500",6.21688354201615
"501",7.84605832863599
"502",7.79522043000907
"503",8.3411883325316
"504",8.90090668201447
"505",3.79894648864865
"506",5.30786609649658
"507",3.89244274795055
"508",4.88504210859537
"509",7.13130069151521
"510",6.27189865801483
"511",5.5412307837978
"512",7.73148177564144
"513",7.93121669813991
"514",7.38514158315957
"515",7.14608607487753
"516",5.50079219415784
"517",7.57931326935068
"518",7.42179475165904
"519",5.8761895976495
"520",6.13647632848006
"521",6.2235838547349
"522",7.96116859838367
"523",8.05320079537341
"524",7.91864176467061
"525",4.75339384842664
"526",5.37207561824471
"527",5.90455198474228
"528",6.69683976334636
"529",8.63234585430473
"530",8.29465174302459
"531",8.19045326812193
"532",8.06027045310475
"533",7.79373479401693
"534",6.68299842998385
"535",8.56744770845398
"536",9.41218174062669
"537",9.78254242986441
"538",9.73241947591305
"539",5.94742321874946
"540",7.2915376201272
"541",9.51322790980339
"542",8.49662878364325
"543",6.66805323958397
"544",8.52643512375653
"545",7.62028187513351
"546",8.88643225794658
"547",9.98160544782877
"548",10.2810420012102
"549",9.63055794499815
"550",9.73836872819811
"551",7.87655834853649
"552",7.67864618543535
"553",6.81404705531895
"554",8.51030861213803
"555",9.66391193587333
"556",9.14383608847857
"557",6.82413505017757
"558",8.34125600010157
"559",10.4622167497873
"560",10.8376148194075
"561",9.5832582488656
"562",9.17386959120631
"563",10.3582468573004
"564",7.91157338023186
"565",6.09798118472099
"566",8.37209606170654
"567",8.49332302808762
"568",9.92764475941658
"569",6.91034147143364
"570",9.31304018944502
"571",10.396557085216
"572",10.493899539113
"573",10.1982050575316
"574",10.461235884577
"575",9.90437689423561
"576",7.28854840248823
"577",9.35835403157398
"578",9.15459644747898
"579",9.38697990495712
"580",9.69842261821032
"581",8.64697739109397
"582",8.84135254099965
"583",10.4616889785975
"584",4.50922280550003
"585",3.52249262481928
"586",4.28468646854162
"587",8.25530760362744
"588",6.64180502993986
"589",7.15172417461872
"590",6.19755555689335
"591",7.44740754365921
"592",9.15011123195291
"593",11.1708759665489
"594",11.4071526229382
"595",8.23969659209251
"596",7.4812915623188
"597",6.35008230805397
"598",8.73343462496996
